,CRN,Subject,Course,Section,Campus,Credit,title,Days,time,Section capacity,Section Actual,Section Remaining,Waitlist Capacity,Waitlist Actual,Waitlist Remaining,Crosslist Capacity,Crosslist Actual,Crosslist Remaining,Instructor,Data(MM/DD),Location ,Attribute,detail
0,24986.0,ACA,6201,10,1,3,Acting I,TBA,TBA,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Alexander Wild(P),08/27-12/10,SEE DEPT,"The focus of the acting sequence shifts with each session, providing a studio structure to explore and meet the demands of the classical canon. Portions of the sequence focus on the history plays and tragedies, classic comedy, high comedy, the Jacobeans, and master classes.","The focus of the acting sequence shifts with each session, providing a studio structure to explore and meet the demands of the classical canon. Portions of the sequence focus on the history plays and tragedies, classic comedy, high comedy, the Jacobeans, and master classes."
1,24987.0,ACA,6205,10,1,2,Topics:Classical Drama/Culter I,TBA,TBA,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Leslie B.Jacobson(P),08/27-12/10,SEE DEPT,"Plays and other writings from the Elizabethan, Jacobean, and Restoration eras and the eighteenth century. The historical world in which the plays were written as well as the imaginary worlds created in the plays themselves.","Plays and other writings from the Elizabethan, Jacobean, and Restoration eras and the eighteenth century. The historical world in which the plays were written as well as the imaginary worlds created in the plays themselves."
10,21211.0,ACCY,2001,11,1,3,Intro to Financial Accounting,TR,03:45pm-05:00pm,48.0,51.0,-3.0,999.0,0.0,999.0,0.0,0.0,0,James Robert Potepa(P),08/27-12/10,1957 E 212,CCAS-Professiona,Fundamental concepts underlying financial statements and the informed use of accounting information; analysis and recording of business transactions; preparation and understanding of financial statements; measurement of the profitability and financial position of a business. Restricted to sophomores.
100,22721.0,AMST,2010,83,1,0,Discussion,F,11:10 am-12:25 pm,20.0,16.0,4.0,999.0,0.0,999.0,20.0,20.0,0,Nicole Ivy (P),08/27-12/10,TOMP 310,GWSB-Foreign Cultures Option and GenEd:Crit Analysis Humanities and CCAS: Oral Communication and CCAS:GlobalCrossCultural and SPHHS-Humanities Courses,"How culture was important in the creation of the United States—in its origins as a colonial outpost and its expansion across the continent; in its hierarchies and expressions of power, especially as organized by race, class, ethnicity, or gender; in the creation of democracy and the valuing of free expression; and in the development of cities and the varied uses of the countryside. Same as HIST 2010."
1000,21107.0,CNSL,8999,15,IR1,3.000/6.000,Dissertation Research, ,TBA,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Carol Hren Hoare (P),08/27-12/10,TBA, ,. Prerequisites: CNSL 8998 or EDUC 8998.
1001,21256.0,CNSL,8999,16,IR1,3.000/6.000,Dissertation Research, ,TBA,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Monica M. Megivern (P),08/27-12/10,TBA, ,. Prerequisites: CNSL 8998 or EDUC 8998.
1002,21482.0,CNSL,8999,17,IR1,3.000/6.000,Dissertation Research, ,TBA,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Richard Pierre Lanthier (P),08/27-12/10,TBA, ,. Prerequisites: CNSL 8998 or EDUC 8998.
1003,23106.0,CNSL,8999,18,IR1,3.000/6.000,Dissertation Research, ,TBA,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Sara Cho Kim (P),08/27-12/10,TBA, ,. Prerequisites: CNSL 8998 or EDUC 8998.
1004,27412.0,CNSL,8999,19,IR1,6,Dissertation Research, ,TBA,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Anne Elizabeth Crunk (P),08/27-12/10,TBA, ,. Prerequisites: CNSL 8998 or EDUC 8998.
1005,27706.0,COHM,6210,DA,7,3,Strategic Communications, ,TBA,15.0,17.0,-2.0,0.0,0.0,0.0,0.0,0.0,0,"Alisa Starbuck (P), Leslie Freeman Davidson , Melanie F Trask",08/27-10/20,TBA, ,Using effective communication in the health care environment to maximize operational outcomes; critical evaluation of personal communication styles. Recommended background: COHM major.
1006,21328.0,COMM,1025,10,1,3,Intro to Communication Studies,M,07:10 pm-09:40 pm,110.0,110.0,0.0,999.0,0.0,999.0,0.0,0.0,0,Lucian Lu (P),08/27-12/10,DUQUES 151,GenEd:Crit Analysis Social Sci,"Introduction to historical and intellectual development of the field. Students survey the origins of contemporary theory; learn about fundamental concepts, models, investigative tools, and contexts of communication; and explore a variety of professional opportunities awaiting communication graduates."
1007,20769.0,COMM,1040,10,1,3,Public Communication,R,07:10 pm-09:40 pm,20.0,19.0,1.0,900.0,0.0,900.0,0.0,0.0,0,Brent Wood McConnell (P),08/27-12/10,PHIL 415,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of the basic techniques of public speaking used to inform, to entertain, and to persuade audiences. Emphasis on the speech-building process: audience analysis, research, development, composition, organization, style, delivery, and criticism."
1008,23592.0,COMM,1040,11,1,3,Public Communication,TR,09:35 am-10:50 am,19.0,18.0,1.0,900.0,0.0,900.0,0.0,0.0,0,Thomas A Palaia (P),08/27-12/10,TOMP 205,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of the basic techniques of public speaking used to inform, to entertain, and to persuade audiences. Emphasis on the speech-building process: audience analysis, research, development, composition, organization, style, delivery, and criticism."
1009,20770.0,COMM,1040,12,1,3,Public Communication,W,12:45 pm-03:15 pm,20.0,20.0,0.0,900.0,0.0,900.0,0.0,0.0,0,Barry Eugene Piatt (P),08/27-12/10,1957 E 309,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of the basic techniques of public speaking used to inform, to entertain, and to persuade audiences. Emphasis on the speech-building process: audience analysis, research, development, composition, organization, style, delivery, and criticism."
101,22722.0,AMST,2010,84,1,0,Discussion,F,11:10 am-12:25 pm,20.0,13.0,7.0,999.0,0.0,999.0,20.0,17.0,3,Nicole Ivy (P),08/27-12/10,ROME 350,GWSB-Foreign Cultures Option and GenEd:Crit Analysis Humanities and CCAS: Oral Communication and CCAS:GlobalCrossCultural and SPHHS-Humanities Courses,"How culture was important in the creation of the United States—in its origins as a colonial outpost and its expansion across the continent; in its hierarchies and expressions of power, especially as organized by race, class, ethnicity, or gender; in the creation of democracy and the valuing of free expression; and in the development of cities and the varied uses of the countryside. Same as HIST 2010."
1010,23259.0,COMM,1040,13,1,3,Public Communication,F,12:45 pm-03:15 pm,20.0,17.0,3.0,999.0,0.0,999.0,0.0,0.0,0,Susan K. Tomasovic (P),08/27-12/10,DUQUES 251,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of the basic techniques of public speaking used to inform, to entertain, and to persuade audiences. Emphasis on the speech-building process: audience analysis, research, development, composition, organization, style, delivery, and criticism."
1011,23258.0,COMM,1040,14,1,3,Public Communication,T,07:10 pm-09:40 pm,20.0,16.0,4.0,900.0,0.0,900.0,0.0,0.0,0,Raul Damacio Tovares (P),08/27-12/10,PHIL 415,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of the basic techniques of public speaking used to inform, to entertain, and to persuade audiences. Emphasis on the speech-building process: audience analysis, research, development, composition, organization, style, delivery, and criticism."
1012,23482.0,COMM,1040,15,1,3,Public Communication,M,07:10 pm-09:40 pm,20.0,20.0,0.0,900.0,0.0,900.0,0.0,0.0,0,Nathan Zachary Wolfson (P),08/27-12/10,LISH 335,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of the basic techniques of public speaking used to inform, to entertain, and to persuade audiences. Emphasis on the speech-building process: audience analysis, research, development, composition, organization, style, delivery, and criticism."
1013,25617.0,COMM,1040,16,1,3,Public Communication,F,12:45 pm-03:15 pm,20.0,19.0,1.0,900.0,0.0,900.0,0.0,0.0,0,Barry Eugene Piatt (P),08/27-12/10,MON 351,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of the basic techniques of public speaking used to inform, to entertain, and to persuade audiences. Emphasis on the speech-building process: audience analysis, research, development, composition, organization, style, delivery, and criticism."
1014,20971.0,COMM,1041,10,1,3,Interpersonal Communication,W,07:10 pm-09:40 pm,30.0,29.0,1.0,900.0,0.0,900.0,0.0,0.0,0,Devlon N Jackson (P),08/27-12/10,PHIL 416,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of verbal and nonverbal communication in ritual, information and perspective sharing, problem solving, and relationship formation, maintenance, and dissolution. Designed to raise awareness of the complexity and power of the communication process in daily life and to help students develop interpersonal skills cognitively, affectively, and behaviorally."
1015,21032.0,COMM,1041,12,1,3,Interpersonal Communication,T,11:10 am-12:25 pm,30.0,30.0,0.0,900.0,0.0,900.0,0.0,0.0,0,Nader H. Chaaban (P),08/27-12/10,SMTH 115,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of verbal and nonverbal communication in ritual, information and perspective sharing, problem solving, and relationship formation, maintenance, and dissolution. Designed to raise awareness of the complexity and power of the communication process in daily life and to help students develop interpersonal skills cognitively, affectively, and behaviorally."
1016,21033.0,COMM,1041,13,1,3,Interpersonal Communication,TR,04:45 pm-06:00 pm,30.0,27.0,3.0,900.0,0.0,900.0,0.0,0.0,0,Abbie Sue Weiner (P),08/27-12/10,PHIL 416,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of verbal and nonverbal communication in ritual, information and perspective sharing, problem solving, and relationship formation, maintenance, and dissolution. Designed to raise awareness of the complexity and power of the communication process in daily life and to help students develop interpersonal skills cognitively, affectively, and behaviorally."
1017,23593.0,COMM,1041,14,1,3,Interpersonal Communication,M,03:30 pm-06:00 pm,30.0,29.0,1.0,900.0,0.0,900.0,0.0,0.0,0,Colleen Maura Kennedy (P),08/27-12/10,PHIL 217,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of verbal and nonverbal communication in ritual, information and perspective sharing, problem solving, and relationship formation, maintenance, and dissolution. Designed to raise awareness of the complexity and power of the communication process in daily life and to help students develop interpersonal skills cognitively, affectively, and behaviorally."
1018,20771.0,COMM,1041,15,1,3,Interpersonal Communication,T,09:35 am-10:50 am,30.0,30.0,0.0,900.0,0.0,900.0,0.0,0.0,0,Nader H. Chaaban (P),08/27-12/10,TOMP 301,GWSB-Communications Elective and GWSB-Humanities Elective and GenEd:Crit Analysis Social Sci and CCAS: Oral Communication,"Study and practice of verbal and nonverbal communication in ritual, information and perspective sharing, problem solving, and relationship formation, maintenance, and dissolution. Designed to raise awareness of the complexity and power of the communication process in daily life and to help students develop interpersonal skills cognitively, affectively, and behaviorally."
1019,21108.0,COMM,1042,10,1,3,Business/Professional Speaking,T,03:30 pm-06:00 pm,25.0,22.0,3.0,900.0,0.0,900.0,0.0,0.0,0,Quazi Z. Ahmed (P),08/27-12/10,1957 E 315,GWSB-Communications Elective and GWSB-Humanities Elective,"Study of the communication process in business and professional organizations; practice in interviewing, small group communication, and public presentations. For non-majors and non-minors only."
102,24418.0,AMST,2010,85,1,0,Discussion,F,12:45 pm-02:00 pm,20.0,15.0,5.0,999.0,0.0,999.0,20.0,19.0,1,Nicole Ivy (P),08/27-12/10,PHIL 348,GWSB-Foreign Cultures Option and GenEd:Crit Analysis Humanities and CCAS: Oral Communication and CCAS:GlobalCrossCultural and SPHHS-Humanities Courses,"How culture was important in the creation of the United States—in its origins as a colonial outpost and its expansion across the continent; in its hierarchies and expressions of power, especially as organized by race, class, ethnicity, or gender; in the creation of democracy and the valuing of free expression; and in the development of cities and the varied uses of the countryside. Same as HIST 2010."
1020,20086.0,COMM,2100,80,1,3,Communication Theory,TR,11:10 am-12:25 pm,24.0,22.0,2.0,999.0,0.0,999.0,29.0,28.0,1,Kristin Froemling Ball (P),08/27-12/10,1957 E 316, ,"The nature and function of communication theory as a framework for the study of communicative behavior; analysis of paradigmatic approaches in rhetorical, interpersonal, and mass communication theories and models. Restricted to students in the communications program or with the permission of the instructor. Prerequisite: COMM 1025."
1021,20831.0,COMM,2120,10,1,3,Small Group Communication,T,08:00 am-10:30 am,32.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Cheryl Williams Wood (P),08/27-12/10,DUQUES 250, ,"The study and practice of communication in small groups, focusing on problem solving, norms, roles, and leadership. Prerequisite: COMM 1025 or permission of the instructor."
1022,27751.0,COMM,2162,80,1,3,Sociology of the Family,TR,12:45 pm-02:00 pm,20.0,21.0,-1.0,0.0,0.0,0.0,40.0,41.0,-1,Katrina L. Pariera (P),08/27-12/10,COR 207,GWSB-Moral Reasoning Elective,"Examination of the stages of family life: birth, childhood, premarital relationships, marriage and sex roles in marriage, retirement, and old age. Special emphasis on development and maintenance of interpersonal relations. Prerequisites: SOC 1001 or SOC 1002 or COMM 1025. (Same as SOC 2162)."
1023,27905.0,COMM,3110,10,1,3,Research Methods-Communication,W,12:45 pm-03:15 pm,20.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0,Meina Liu (P),08/27-12/10,SMTH 120, ,"Processes of inquiry within interpersonal and public communication. Students are introduced to concepts of framing research questions, conducting literature reviews, developing a research design, using qualitative and quantitative research tools, and interpreting results of research in communication. Prerequisite: COMM 2100."
