Number,Name
ACA,Academy for Classical Acting
ACCY, Accountancy
AMST,American Studies
ANAT,Anatomy & Regenerative Biology
ANES,Anesthesiology
ANTH,Anthropology
APSC,Applied Science
ARAB,Arabic
ARTH,Art Therapy
AH,Art/Art History
FA,Art/Fine Arts
ASTR,Astronomy
BIOC,Biochemistry
BISC,Biological Sciences
BME,Biomedical Engineering
BMSC,Biomedical Sciences
BIOS,Biostatistics
BADM,Business Administration
CANC,Cancer Biology
CHEM,Chemistry
CHIN,Chinese
CE,Civil Engineering
CLAS,Classical Studies
CML,Clinical Mgt & Leadership
COHM,Clinical Oper & Hlthcare Mgmt
CRA,Clinical Research Admin
CPS,College/Professional Studies
CCAS,Columbian College
COMM,Communication
CSCI,Computer Science
CAH,Corcoran Art History
CCR,Corcoran Ceramics
CCE,Corcoran Continuing Education
CDAD,Corcoran Decorative Art Design
CDE,Corcoran Design
CDM,Corcoran Digital Media Design
CEX,Corcoran Exhibition Design
CFA,Corcoran Fine Art
CFN,Corcoran First Year Foundation
CGD,Corcoran Graphic Design
CIXD,Corcoran Interaction Design
CPH,Corcoran Photography
CPJ,Corcoran Photojournalism
CPR,Corcoran Printmaking
CNSL,Counseling
CPED,Curriculum and Pedagogy
DATS,Data Science
DNSC,Decision Sciences
DERM,Dermatology
EALL,East Asian Lang & Lit
ECON,Economics
EDUC,Educational Leadership
ECE,Electrical & Computer Engring
EHS,Emergency Health Services
EMED,Emergency Medicine
ENGL,English
EAP,English for Academic Purposes
EMSE,Engr Mgt & Systems Engineering
ENRP,Environmental Resource Policy
EPID,Epidemiology
EXNS,Exercise & Nutrition Sciences
FILM,Film Studies
FINA,Finance
FORP,Forensic Psychology
FORS,Forensic Sciences
FREN,French
GTCH,GWTeach
GENO,Genomics and Bioinformatics
GEOG,Geography
GEOL,Geology
GER,Germanic Language & Literature
GCON,Government Contracts
SEHD,Graduate School of Ed & HD
GREK,Greek
HCQ,Health Care Quality
HCS,Health Care Science
HSCI,Health Sciences Programs
HLWL,Health and Wellness
HSML,HealthServicesMgt&Leadership
HEBR,Hebrew
HIST,History
HOMP,Hominid Paleobiology
HONR,Honors
HDEV,Human Development
HOL,Human Organizational Learning
HSSJ,Human Services&Social Justice
ISTM,InfSystemsTechnologyManagement
INFR,Informatics
PSIS,"Integrated Inf, Sci, and Tech"
INTM,Integrative Medicine
IDIS,Interdisciplinary Courses
IA,Interior Architecture
IAFF,International Affairs
IBUS,International Business
ITAL,Italian
JAPN,Japanese
JSTD,Judaic Studies
KOR,Korean
LATN,Latin
LAW,Law
LGAF,Legislative Affairs
LSPA,"Lifestyle,Sport& Phys Activity"
MGT,Management
MKTG,Marketing
MBAD,Master of Business Administrtn
MATH,Mathematics
MAE,Mechanical & Aerospace Engring
MLS,Medical Laboratory Science
MED,Medicine
MICR,"Microbio, Immun & Tropical Med"
MMED,Molecular Medicine
MSTD,Museum Studies
MUS,Music
NSC,Naval Science
NRSC,Neuroscience
NURS,Nursing
OB&G,Obstetrics & Gynecology
OT,Occupational Therapy
ORSC,Organizational Sciences
PSLX,Paralegal Studies
PATH,Pathology
PSTD,Peace Studies
PED,Pediatrics
PERS,Persian
PHRG,Pharmacogenomics
PHAR,Pharmacology
PHIL,Philosophy
PT,Physical Therapy
PA,Physician Assistant
PHYS,Physics
PMGT,Political Management
PPSY,Political Psychology
PSC,Political Science
PORT,Portuguese
PSCS,Prof Studies - Cybersecurity
PSLD,Prof Studies Landscape Design
PSLM,Prof Studies Law Firm Mgmt
PSPL,Prof Studies in PublicLeadrshp
PSHS,Prof Studies-Homeland Security
PSPR,Prof Studies-Public Relations
PSPB,Prof Studies-Publishing
PSHC,ProfStudies HlthCareCorpCompli
PSUS,ProfStudiesUrbanSustainability
PSYD,Professional Psychology
PCHI,Psychiatry & Behavioral Sci
PSYC,Psychology
PUBH,Public Health
PPPA,Public Policy and Public Admin
RAD,Radiology
RAFF,Regulatory Affairs
REL,Religion
SEAS,School of Eng & Applied Sci
SMPA,School of Media&Public Affairs
SLAV,Slavic Languages & Lit
SOC,Sociology
SPAN,Spanish
SPED,Special Education
SPHR,"Speech, Lang., & Hearing Sci."
STAT,Statistics
SMPP,Strategic Mgt & Public Policy
SURG,Surgery
SUST,Sustainability
TSAP,Teaching in Sci. & Professions
TRDA,Theatre and Dance
TSTD,Tourism Studies
THS,Translational Health Sciences
TURK,Turkish
UNIV,University
UW,University Writing
WLP,Women and Leadership Program
WGSS,"Women's,Gender&SexualityStudy"
